anchor,positive,negative
"Phòng Công tác Chính trị - Sinh viên có nhiệm vụ gì?","Phòng Công tác Chính trị - Sinh viên đảm nhiệm công tác tư tưởng,tổ chức và các hoạt động chính trị cho sinh viên.","Phòng Công tác Chính trị - Sinh viên chỉ phục vụ cho công tác hành chính mà không liên quan đến hoạt động chính trị."
"Trung tâm Phân tích,Thí nghiệm Công nghệ cao có thiết bị gì?","Trung tâm có các thiết bị thí nghiệm phục vụ nghiên cứu trong các lĩnh vực Địa chất,Môi trường,Dầu khí và Khoáng sản.","Trung tâm không có thiết bị cho nghiên cứu trong lĩnh vực Địa chất mà chỉ có thiết bị cơ bản."
"Trung tâm Hỗ trợ phát triển KHKT có chức năng gì?","Trung tâm Hỗ trợ phát triển KHKT giúp đỡ trong việc phát triển khoa học và công nghệ của trường.","Trung tâm Hỗ trợ phát triển KHKT không hỗ trợ các hoạt động nghiên cứu mà chỉ tổ chức các sự kiện."
"Trung tâm Triển khai Công nghệ khoáng chất phục vụ trong lĩnh vực nào?","Trung tâm triển khai công nghệ khoáng chất phục vụ nghiên cứu và ứng dụng trong ngành mỏ và địa chất.","Trung tâm chỉ nghiên cứu về công nghệ trong lĩnh vực sinh học và không liên quan đến khoáng chất."
"Phòng Đào tạo Sau đại học có nhiệm vụ gì?","Phòng Đào tạo Sau đại học phụ trách công tác đào tạo học viên cao học và nghiên cứu sinh.","Phòng Đào tạo Sau đại học chỉ phụ trách đào tạo sinh viên đại học mà không liên quan đến học viên cao học."
"Trung tâm Nghiên cứu Địa kỹ thuật có nhiệm vụ gì?","Trung tâm Nghiên cứu Địa kỹ thuật thực hiện các nghiên cứu về địa chất và ứng dụng trong ngành mỏ.","Trung tâm Nghiên cứu Địa kỹ thuật chỉ nghiên cứu về công nghệ thông tin và không liên quan đến địa chất."
"Phòng Xuất bản có nhiệm vụ gì?","Phòng Xuất bản chịu trách nhiệm xuất bản các tài liệu học thuật và chuyên ngành của trường.","Phòng Xuất bản chỉ chịu trách nhiệm về xuất bản các bài giảng cho sinh viên."
"Trung tâm Nghiên cứu Ứng dụng Công nghệ mới Trắc địa - Bản đồ có nhiệm vụ gì?","Trung tâm Nghiên cứu Ứng dụng Công nghệ mới Trắc địa - Bản đồ nghiên cứu và triển khai công nghệ mới trong ngành trắc địa và bản đồ.","Trung tâm Nghiên cứu Ứng dụng Công nghệ mới chỉ thực hiện nghiên cứu cơ bản và không triển khai công nghệ mới."
"Hệ thống Wifi của Trường Đại học Mỏ - Địa chất có phạm vi phủ sóng như thế nào?","Hệ thống Wifi tại trường có phạm vi phủ sóng ở hầu hết các khu giảng đường,thư viện và tòa nhà hành chính.","Hệ thống Wifi chỉ có phạm vi phủ sóng trong một số khu vực hành chính và không phục vụ khu giảng đường."
"Ký túc xá của Trường Đại học Mỏ - Địa chất có những đặc điểm gì?","Ký túc xá của trường rất khang trang,sạch đẹp,với 5 tòa nhà và tổng cộng 270 phòng ở phục vụ hơn 2.000 sinh viên.","Ký túc xá chỉ có 1 tòa nhà và không đủ phòng cho hơn 2.000 sinh viên."
"Ký túc xá của trường có bao nhiêu phòng?","Ký túc xá có tổng cộng 270 phòng ở,đáp ứng nhu cầu của hơn 2.000 sinh viên.","Ký túc xá chỉ có 50 phòng,không đủ cho hơn 2.000 sinh viên."
"Ký túc xá của Trường Đại học Mỏ - Địa chất có công trình phụ như thế nào?","Mỗi phòng trong ký túc xá đều có công trình phụ khép kín để phục vụ sinh viên.","Các phòng trong ký túc xá không có công trình phụ khép kín."
"Ký túc xá của Trường Đại học Mỏ - Địa chất có đảm bảo an ninh không?","Ký túc xá có công tác an ninh đảm bảo 24/24,giúp sinh viên yên tâm học tập.","Ký túc xá không có bảo vệ và an ninh chỉ có vào ban ngày."
"Khu thể thao tại Trường Đại học Mỏ - Địa chất phục vụ nhu cầu gì?","Khu thể thao phục vụ nhu cầu rèn luyện thể chất của sinh viên và cán bộ nhà trường với các sân bóng đá,bóng chuyền,bóng rổ.","Khu thể thao chỉ có sân tập thể dục cơ bản và không có các sân bóng chuyên dụng."
"Sinh viên có thể tham gia những môn thể thao nào tại trường?","Sinh viên có thể sử dụng sân tập đa năng,sân bóng đá,bóng chuyền,bóng rổ và các khu vực tập luyện khác.","Sinh viên chỉ có thể tham gia môn thể dục nhẹ và không có sân bóng rổ hay bóng chuyền."
"Trạm y tế của Trường Đại học Mỏ - Địa chất cung cấp dịch vụ gì cho sinh viên?","Trạm y tế cung cấp các dịch vụ y tế,bao gồm tư vấn bảo hiểm y tế và xử lý các vấn đề sức khỏe cho sinh viên.","Trạm y tế chỉ cung cấp thuốc cơ bản và không hỗ trợ các vấn đề bảo hiểm y tế."
"Trạm y tế có phối hợp với các đơn vị nào trong trường không?","Trạm y tế phối hợp với các đơn vị trong trường để đảm bảo quyền lợi y tế cho sinh viên.","Trạm y tế hoạt động độc lập và không phối hợp với các đơn vị khác trong trường."
"Hệ thống Wifi của trường có hỗ trợ những tài nguyên gì?","Hệ thống Wifi giúp sinh viên và cán bộ truy cập thông tin,tài liệu học tập và các nguồn tài nguyên trực tuyến.","Hệ thống Wifi chỉ hỗ trợ mạng xã hội và không cung cấp tài nguyên học tập."
"Trường có bao nhiêu tòa nhà ký túc xá?","Trường có 5 tòa nhà ký túc xá,bao gồm các tòa D1,D2,D3 và ký túc xá sinh viên nước ngoài.","Trường chỉ có một tòa nhà ký túc xá và không có khu ký túc xá cho sinh viên nước ngoài."
"Trạm y tế của Trường Đại học Mỏ - Địa chất có những dịch vụ hỗ trợ nào?","Trạm y tế cung cấp tư vấn bảo hiểm,xử lý vấn đề sức khỏe và hỗ trợ sinh viên trong trường hợp cần thiết.","Trạm y tế chỉ cung cấp dịch vụ cấp cứu và không có dịch vụ tư vấn bảo hiểm."
"Ký túc xá của trường có trang bị gì cho sinh viên?","Ký túc xá trang bị bàn ghế học,tủ cá nhân và công trình phụ khép kín cho mỗi sinh viên.","Ký túc xá không trang bị tủ cá nhân và chỉ có giường ngủ cho sinh viên."
"Trạm y tế có hỗ trợ thủ tục bảo hiểm y tế không?","Trạm y tế hỗ trợ sinh viên về thủ tục bảo hiểm y tế và các vấn đề sức khỏe khác.","Trạm y tế không hỗ trợ thủ tục bảo hiểm mà chỉ cung cấp thuốc và cấp cứu."
"Khu thể thao có bao nhiêu sân thể thao?","Khu thể thao có nhiều sân,bao gồm sân bóng đá,bóng chuyền,bóng rổ và sân tập đa năng.","Khu thể thao chỉ có một sân bóng đá và không có sân bóng chuyền hay bóng rổ."
"Trường có bao nhiêu ký túc xá cho sinh viên nước ngoài?","Trường có một ký túc xá riêng biệt cho sinh viên nước ngoài.","Trường không có ký túc xá dành riêng cho sinh viên nước ngoài."
"Phương tiện phục vụ sinh viên trong ký túc xá như thế nào?","Mỗi sinh viên trong ký túc xá được trang bị bàn ghế học và tủ cá nhân để sử dụng.","Ký túc xá không trang bị bàn ghế học cho sinh viên."
"Hệ thống Wifi của trường có bao phủ hết toàn trường không?","Hệ thống Wifi của trường phủ sóng hầu hết các khu giảng đường,thư viện và tòa nhà hành chính.","Hệ thống Wifi chỉ có ở khu vực giảng đường và không phủ sóng ở các khu ký túc xá."
"Trạm y tế của Trường Đại học Mỏ - Địa chất có đáp ứng nhu cầu của sinh viên không?","Trạm y tế đáp ứng đầy đủ các nhu cầu y tế cơ bản của sinh viên,bao gồm bảo hiểm và các dịch vụ sức khỏe khác.","Trạm y tế chỉ cung cấp dịch vụ cấp cứu và không hỗ trợ các nhu cầu y tế dài hạn."
"Ký túc xá có công trình phụ khép kín không?","Mỗi phòng trong ký túc xá đều có công trình phụ khép kín,tiện nghi cho sinh viên.","Các phòng trong ký túc xá không có công trình phụ khép kín mà chỉ có nhà vệ sinh chung."
"Trạm y tế có cung cấp dịch vụ hỗ trợ sức khỏe không?","Trạm y tế cung cấp các dịch vụ chăm sóc sức khỏe cho sinh viên,từ tư vấn đến xử lý các vấn đề sức khỏe.","Trạm y tế không cung cấp dịch vụ chăm sóc sức khỏe mà chỉ có dịch vụ cấp cứu."
"Ký túc xá có thể phục vụ bao nhiêu sinh viên?","Ký túc xá có khả năng phục vụ hơn 2.000 sinh viên với tổng số 270 phòng.","Ký túc xá chỉ có thể phục vụ 500 sinh viên vì số phòng quá ít."
"Khu thể thao tại trường có đủ các môn thể thao không?","Khu thể thao có đầy đủ các sân bóng đá,bóng chuyền,bóng rổ và sân tập thể dục đa năng.","Khu thể thao chỉ có sân bóng đá và không có sân bóng rổ hay bóng chuyền."
"Trạm y tế của trường có hoạt động vào tất cả các giờ không?","Trạm y tế hoạt động trong giờ hành chính và có thể xử lý các tình huống khẩn cấp trong trường hợp cần thiết.","Trạm y tế chỉ hoạt động vào ban ngày và không xử lý cấp cứu ngoài giờ."
"Trường Đại học Mỏ - Địa chất đào tạo những ngành nào ở Khoa Công nghệ Thông tin?","Khoa Công nghệ Thông tin đào tạo các ngành: Công nghệ Thông tin,Công nghệ Thông tin (hệ Chất lượng cao),và Khoa học Dữ liệu.","Khoa Công nghệ Thông tin đào tạo các ngành: Kỹ thuật máy tính,Thiết kế đồ họa,và Quản lý thông tin."
"Ngành Công nghệ Thông tin tại Khoa Công nghệ Thông tin gồm những chuyên ngành nào?","Ngành Công nghệ Thông tin gồm các chuyên ngành: Công nghệ phần mềm,Mạng máy tính,Khoa học máy tính,Hệ thống thông tin,Công nghệ thông tin địa học,và Tin học kinh tế.","Ngành Công nghệ Thông tin không có chuyên ngành về Tin học kinh tế và Hệ thống thông tin."
"Ngành Công nghệ Thông tin (hệ Chất lượng cao) có những hướng chuyên sâu nào?","Ngành Công nghệ Thông tin (hệ Chất lượng cao) có 2 hướng chuyên sâu: Công nghệ di động và Trí tuệ nhân tạo.","Ngành Công nghệ Thông tin (hệ Chất lượng cao) chỉ tập trung vào Công nghệ phần mềm và Mạng máy tính."
"Ngành Khoa học Dữ liệu có những hướng chuyên sâu nào?","Ngành Khoa học Dữ liệu có các hướng chuyên sâu: Khoa học Dữ liệu trong Kinh tế - Tài chính,Quản lý Tài nguyên - Môi trường,và Khoa học Dữ liệu không gian.","Ngành Khoa học Dữ liệu không có hướng chuyên sâu về Tài nguyên - Môi trường."
"Khoa Mỏ đào tạo những ngành nào?","Khoa Mỏ đào tạo các ngành: Kỹ thuật mỏ,An toàn vệ sinh lao động,và Kỹ thuật tuyển khoáng.","Khoa Mỏ chỉ đào tạo ngành Kỹ thuật mỏ và không có ngành An toàn vệ sinh lao động."
"Ngành Kỹ thuật mỏ tại Khoa Mỏ có chuyên ngành gì?","Ngành Kỹ thuật mỏ có chuyên ngành Khai thác mỏ.","Ngành Kỹ thuật mỏ không có chuyên ngành về Khai thác mỏ."
"Khoa Khoa học và Kỹ thuật Địa chất đào tạo những ngành nào?","Khoa Khoa học và Kỹ thuật Địa chất đào tạo các ngành: Kỹ thuật Địa chất,Địa chất học,và Địa kỹ thuật Xây dựng.","Khoa Khoa học và Kỹ thuật Địa chất không đào tạo ngành Địa kỹ thuật Xây dựng."
